Province,Date,Item,Count
台湾,2020-04-28,confirmed,429
台湾,2020-04-27,confirmed,429
台湾,2020-04-26,confirmed,429
台湾,2020-04-25,confirmed,429
台湾,2020-04-24,confirmed,428
台湾,2020-04-23,confirmed,427
台湾,2020-04-22,confirmed,426
台湾,2020-04-21,confirmed,425
台湾,2020-04-20,confirmed,422
台湾,2020-04-19,confirmed,420
台湾,2020-04-18,confirmed,398
台湾,2020-04-17,confirmed,395
台湾,2020-04-16,confirmed,395
台湾,2020-04-15,confirmed,395
台湾,2020-04-14,confirmed,393
台湾,2020-04-13,confirmed,393
台湾,2020-04-12,confirmed,388
台湾,2020-04-11,confirmed,385
台湾,2020-04-10,confirmed,380
台湾,2020-04-09,confirmed,379
台湾,2020-04-08,confirmed,376
台湾,2020-04-07,confirmed,376
台湾,2020-04-06,confirmed,363
台湾,2020-04-05,confirmed,363
台湾,2020-04-04,confirmed,355
台湾,2020-04-03,confirmed,339
台湾,2020-04-02,confirmed,339
台湾,2020-04-01,confirmed,329
台湾,2020-03-31,confirmed,322
台湾,2020-03-30,confirmed,298
台湾,2020-03-29,confirmed,298
台湾,2020-03-28,confirmed,267
台湾,2020-03-27,confirmed,267
台湾,2020-03-26,confirmed,252
台湾,2020-03-25,confirmed,216
台湾,2020-03-24,confirmed,195
台湾,2020-03-23,confirmed,195
台湾,2020-03-22,confirmed,169
台湾,2020-03-21,confirmed,135
台湾,2020-03-20,confirmed,135
台湾,2020-03-19,confirmed,108
台湾,2020-03-18,confirmed,100
台湾,2020-03-17,confirmed,67
台湾,2020-03-16,confirmed,67
台湾,2020-03-15,confirmed,59
台湾,2020-03-14,confirmed,53
台湾,2020-03-13,confirmed,50
台湾,2020-03-12,confirmed,49
台湾,2020-03-11,confirmed,48
台湾,2020-03-10,confirmed,47
台湾,2020-03-09,confirmed,45
台湾,2020-03-08,confirmed,45
台湾,2020-03-06,confirmed,45
台湾,2020-03-05,confirmed,44
台湾,2020-03-03,confirmed,42
台湾,2020-03-02,confirmed,40
台湾,2020-03-01,confirmed,40
台湾,2020-02-29,confirmed,34
台湾,2020-02-28,confirmed,32
台湾,2020-02-26,confirmed,32
台湾,2020-02-25,confirmed,31
台湾,2020-02-24,confirmed,28
台湾,2020-02-23,confirmed,28
台湾,2020-02-21,confirmed,26
台湾,2020-02-20,confirmed,24
台湾,2020-02-19,confirmed,23
台湾,2020-02-17,confirmed,22
台湾,2020-02-16,confirmed,20
台湾,2020-02-14,confirmed,18
台湾,2020-02-13,confirmed,18
台湾,2020-02-09,confirmed,18
台湾,2020-02-08,confirmed,17
台湾,2020-02-06,confirmed,13
台湾,2020-02-04,confirmed,11
台湾,2020-01-31,confirmed,10
台湾,2020-01-30,confirmed,9
台湾,2020-01-28,confirmed,7
台湾,2020-01-27,confirmed,5
台湾,2020-01-26,confirmed,4
台湾,2020-01-25,confirmed,3
台湾,2020-01-24,confirmed,1
台湾,2020-01-22,confirmed,1
广东省,2020-05-25,confirmed,1592
广东省,2020-05-24,confirmed,1592
广东省,2020-05-22,confirmed,1591
广东省,2020-05-17,confirmed,1590
广东省,2020-05-14,confirmed,1589
广东省,2020-05-12,confirmed,1589
广东省,2020-05-11,confirmed,1589
广东省,2020-05-09,confirmed,1589
广东省,2020-05-07,confirmed,1589
广东省,2020-05-06,confirmed,1588
广东省,2020-05-05,confirmed,1588
广东省,2020-05-04,confirmed,1588
广东省,2020-05-02,confirmed,1588
广东省,2020-05-01,confirmed,1588
广东省,2020-04-30,confirmed,1588
广东省,2020-04-29,confirmed,1588
广东省,2020-04-28,confirmed,1587
广东省,2020-04-27,confirmed,1587
广东省,2020-04-26,confirmed,1586
广东省,2020-04-25,confirmed,1585
广东省,2020-04-24,confirmed,1585
广东省,2020-04-23,confirmed,1584
广东省,2020-04-22,confirmed,1582
广东省,2020-04-21,confirmed,1582
广东省,2020-04-20,confirmed,1580
广东省,2020-04-19,confirmed,1580
广东省,2020-04-18,confirmed,1579
广东省,2020-04-17,confirmed,1577
广东省,2020-04-16,confirmed,1571
广东省,2020-04-15,confirmed,1566
广东省,2020-04-14,confirmed,1563
广东省,2020-04-13,confirmed,1555
广东省,2020-04-12,confirmed,1552
广东省,2020-04-11,confirmed,1548
广东省,2020-04-10,confirmed,1544
广东省,2020-04-09,confirmed,1539
广东省,2020-04-08,confirmed,1536
广东省,2020-04-07,confirmed,1533
广东省,2020-04-06,confirmed,1532
广东省,2020-04-05,confirmed,1524
广东省,2020-04-04,confirmed,1516
广东省,2020-04-03,confirmed,1514
广东省,2020-04-02,confirmed,1507
广东省,2020-04-01,confirmed,1501
广东省,2020-03-31,confirmed,1490
广东省,2020-03-30,confirmed,1484
广东省,2020-03-29,confirmed,1475
广东省,2020-03-28,confirmed,1467
广东省,2020-03-27,confirmed,1456
广东省,2020-03-26,confirmed,1444
广东省,2020-03-25,confirmed,1433
广东省,2020-03-24,confirmed,1428
广东省,2020-03-23,confirmed,1413
广东省,2020-03-22,confirmed,1407
广东省,2020-03-21,confirmed,1399
广东省,2020-03-20,confirmed,1392
广东省,2020-03-19,confirmed,1378
广东省,2020-03-18,confirmed,1369
广东省,2020-03-17,confirmed,1364
广东省,2020-03-16,confirmed,1361
广东省,2020-03-15,confirmed,1357
广东省,2020-03-14,confirmed,1356
广东省,2020-03-13,confirmed,1356
广东省,2020-03-12,confirmed,1356
广东省,2020-03-11,confirmed,1353
广东省,2020-03-10,confirmed,1353
广东省,2020-03-09,confirmed,1352
广东省,2020-03-08,confirmed,1352
广东省,2020-03-07,confirmed,1352
广东省,2020-03-06,confirmed,1351
广东省,2020-03-05,confirmed,1350
广东省,2020-03-04,confirmed,1350
广东省,2020-03-03,confirmed,1350
广东省,2020-03-02,confirmed,1350
广东省,2020-03-01,confirmed,1349
广东省,2020-02-29,confirmed,1349
广东省,2020-02-28,confirmed,1348
广东省,2020-02-27,confirmed,1347
广东省,2020-02-26,confirmed,1347
广东省,2020-02-25,confirmed,1347
广东省,2020-02-24,confirmed,1345
广东省,2020-02-23,confirmed,1342
广东省,2020-02-22,confirmed,1339
广东省,2020-02-21,confirmed,1333
广东省,2020-02-20,confirmed,1332
广东省,2020-02-19,confirmed,1331
广东省,2020-02-18,confirmed,1328
广东省,2020-02-17,confirmed,1322
广东省,2020-02-16,confirmed,1316
广东省,2020-02-15,confirmed,1294
